VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,4329,Herradura Anejo LaCaretta DB,51.58,64.99,750.0,24,1237.92,12.0,779.88,129.98,9.44,137203.36000000002,-458.0400000000001,-58.73211263271274,0.5,0.6299922450562233
516,BANFI PRODUCTS CORP,22402,Aska Bolgheri Rosso,19.33,28.99,750.0,64,1237.12,30.0,869.7,405.86000000000007,3.3600000000000003,17020.820000000007,-367.41999999999985,-42.24675175347819,0.46875,0.7030037506466633
3924,HEAVEN HILL DISTILLERIES,614,J W Dant Bourbon,17.16,22.99,1750.0,72,1235.5200000000002,42.0,965.5800000000002,229.90000000000003,77.14,28139.739999999983,-269.94000000000005,-27.956254272043747,0.5833333333333334,0.781517094017094
12546,JIM BEAM BRANDS COMPANY,335,Canadian Club Sherry Cask,17.16,22.99,750.0,72,1235.52,36.0,827.64,45.98,28.34,247761.94,-407.88,-49.282296650717704,0.5,0.6698717948717948
17035,PERNOD RICARD USA,25457,GH Mumm Cordon Rouge,308.82,472.49,9000.0,4,1235.28,2.0,944.98,944.98,2.7,247560.43999999992,-290.29999999999995,-30.72022688310863,0.5,0.7649925522958358
10754,PERFECTA WINES,6416,La Fee NV Absinthe,14.7,22.99,750.0,84,1234.8,56.0,1119.4400000000003,879.5600000000003,44.17999999999998,57441.03999999999,-115.35999999999967,-10.305152576288112,0.6666666666666666,0.9065759637188211
3252,E & J GALLO WINERY,24252,Barefoot Summer Red Spritzer,5.4,7.99,250.0,228,1231.2,92.0,735.0800000000002,287.64000000000016,3.480000000000001,123933.81999999999,-496.1199999999999,-67.49197366273056,0.40350877192982454,0.5970435347628331
4692,KOBRAND CORPORATION,10336,Poema Brut Cava Penedes,8.1,11.99,750.0,152,1231.2,62.0,743.3800000000003,503.58000000000027,6.880000000000004,18278.760000000002,-487.8199999999997,-65.62188920874917,0.40789473684210525,0.6037849252761536
10754,PERFECTA WINES,19344,Montebuena Rioja,8.55,12.99,750.0,144,1231.2,30.0,389.70000000000005,103.91999999999999,3.36,57441.03999999999,-841.5,-215.9353348729792,0.20833333333333334,0.3165204678362573
8673,STE MICHELLE WINE ESTATES,16153,Villa Mount Eden Gran Rs Pnt,8.55,12.49,750.0,144,1231.1999999999998,72.0,899.28,74.94,8.1,31839.40000000002,-331.91999999999985,-36.90952762209766,0.5,0.7304093567251463
2000,SOUTHERN WINE & SPIRITS NE,19632,Ch de Pez 10 St Estephe Brdx,27.92,45.99,750.0,44,1228.48,26.0,1117.74,171.96,2.92,38033.180000000015,-110.74000000000001,-9.907491903304884,0.5909090909090909,0.9098560823131023
4425,MARTIGNETTI COMPANIES,19700,Heinrich Vollmer Riesling,8.27,11.99,750.0,148,1223.9599999999998,144.0,1726.560000000001,1270.9400000000007,15.91999999999999,289858.48000000004,502.6000000000013,29.10990640348444,0.972972972972973,1.4106343344553756
12331,STELLAR IMPORTING CO LLC,27440,Achaia Cellars Retsina,6.37,9.49,1000.0,192,1223.0400000000004,42.0,398.5800000000001,170.82000000000002,6.300000000000002,238.45999999999998,-824.4600000000003,-206.84931506849318,0.21875,0.3258928571428571
4425,MARTIGNETTI COMPANIES,18770,Enza Prosecco,12.74,18.99,750.0,96,1223.04,10.0,189.89999999999998,151.92,1.1,289858.48000000004,-1033.1399999999999,-544.0442338072669,0.10416666666666667,0.15526883830455257
10754,PERFECTA WINES,43539,Fantinel Prosecco,12.74,18.99,750.0,96,1223.04,2.0,37.98,37.98,0.22,57441.03999999999,-1185.06,-3120.2211690363347,0.020833333333333332,0.031053767660910517
3252,E & J GALLO WINERY,8699,Livingston Rhine Calif,4.63,6.99,1500.0,264,1222.3199999999993,118.0,930.8200000000002,189.76000000000005,26.520000000000003,123933.81999999999,-291.4999999999991,-31.316473646891886,0.44696969696969696,0.7615190784737227
3252,E & J GALLO WINERY,18084,Madria Sangria Moscato,4.02,5.99,750.0,304,1222.0800000000002,130.0,778.7000000000006,359.4000000000003,14.479999999999993,123933.81999999999,-443.37999999999954,-56.93848722229347,0.4276315789473684,0.6371923278345121
3252,E & J GALLO WINERY,36540,Liberty Creek Prem RSV Merlo,5.36,7.99,1500.0,228,1222.08,102.0,814.9800000000004,239.7000000000001,22.879999999999992,123933.81999999999,-407.09999999999957,-49.952146064934034,0.4473684210526316,0.6668794186959941
9815,WINE GROUP INC,13871,Yosemite Road Cab Svgn,2.31,3.49,750.0,528,1219.6800000000007,264.0,921.3600000000004,167.52000000000004,29.619999999999997,54200.81999999998,-298.3200000000004,-32.37822349570204,0.5,0.7554112554112552
2876,CENTEUR IMPORTS LLC,24694,Cormons Schioppettino,8.96,12.99,750.0,136,1218.5599999999997,56.0,727.4400000000002,389.70000000000016,6.220000000000002,63.0,-491.11999999999955,-67.51347190146258,0.4117647058823529,0.5969669117647062
8352,LUXCO INC,5825,Arrow Blackraspberry Liqueur,6.34,7.99,750.0,192,1217.28,96.0,767.0400000000002,207.74000000000007,75.62000000000005,20523.199999999997,-450.2399999999998,-58.698372966207714,0.5,0.6301261829652999
9552,M S WALKER INC,25325,Gran Moraine Y-C Chard OR,25.34,36.99,750.0,48,1216.32,2.0,73.98,73.98,0.22,111103.64000000003,-1142.34,-1544.1200324412002,0.041666666666666664,0.06082280978689819
4425,MARTIGNETTI COMPANIES,21259,Paul Hobbs Crossbarn Rose PN,12.66,18.99,750.0,96,1215.3600000000001,118.0,2240.819999999999,1101.4200000000003,13.159999999999998,289858.48000000004,1025.4599999999987,45.76271186440675,1.2291666666666667,1.843749999999999
10754,PERFECTA WINES,21432,Ch Grande Pontet St Emilion,25.32,38.99,750.0,48,1215.36,12.0,467.88000000000005,467.88000000000005,1.3200000000000003,57441.03999999999,-747.4799999999998,-159.7589125416773,0.25,0.3849723538704582
1392,CONSTELLATION BRANDS INC,39665,Alice White Lexia Muscato,5.06,8.49,750.0,240,1214.4000000000003,130.0,1025.7000000000007,545.3200000000004,14.42,159057.9800000001,-188.6999999999996,-18.39719216145066,0.5416666666666666,0.8446146245059293
10754,PERFECTA WINES,23896,Riebeek Cellars Cape Rose,7.58,12.99,750.0,160,1212.8000000000002,394.0,5118.059999999968,3715.139999999973,43.519999999999875,57441.03999999999,3905.2599999999675,76.3035212561008,2.4625,4.22003627968335
2000,SOUTHERN WINE & SPIRITS NE,13045,Double Decker Red,3.83,12.99,750.0,316,1210.2800000000002,448.0,3601.9199999999955,616.2,50.24,38033.180000000015,2391.6399999999953,66.39903162757635,1.4177215189873418,2.9761047030439194
12546,JIM BEAM BRANDS COMPANY,712,Cruzan Citrus Flavored Rum,7.96,10.99,750.0,152,1209.92,204.0,2241.959999999998,769.3000000000004,160.71999999999997,247761.94,1032.0399999999981,46.03293546718046,1.3421052631578947,1.8529820153398555
9552,M S WALKER INC,24553,Ch Lassegue 2/05-09-10 6 Pak,301.93,467.99,750.0,4,1207.72,0.0,0.0,0.0,0.0,111103.64000000003,0.0,0.0,0.0,0.0
4425,MARTIGNETTI COMPANIES,26084,Gravel Bar Cab Svgn Columbia,12.58,18.99,750.0,96,1207.68,4.0,75.96,37.98,0.44,289858.48000000004,-1131.72,-1489.8894154818327,0.041666666666666664,0.06289745627980921
5612,MILTONS DISTRIBUTING CO,20234,Ch Marquis d'Alesme,25.16,36.99,750.0,48,1207.68,24.0,887.76,73.98,2.7,18.920000000000005,-319.9200000000001,-36.03676669370101,0.5,0.7350953895071541
10000,MAJESTIC FINE WINES,17927,La Crema Pnt Nr Anderson Vly,25.16,36.99,750.0,48,1207.68,8.0,295.92,147.96,0.9,35175.18000000001,-911.76,-308.11030008110293,0.16666666666666666,0.24503179650238474
10754,PERFECTA WINES,11181,Fantinel Brut Rose,12.58,18.99,750.0,96,1207.68,20.0,379.80000000000007,265.86,2.2200000000000006,57441.03999999999,-827.88,-217.97788309636647,0.20833333333333334,0.31448728139904614
10754,PERFECTA WINES,12475,Ch Beauchene Prm Terroir CDR,12.58,18.99,750.0,96,1207.68,14.0,265.86,265.86,1.5400000000000005,57441.03999999999,-941.82,-354.254118709095,0.14583333333333334,0.22014109697933226
2000,SOUTHERN WINE & SPIRITS NE,25771,Juve y Camps Sweet Rsva Spar,10.06,14.99,750.0,120,1207.1999999999998,24.0,335.7600000000001,279.80000000000007,2.6400000000000006,38033.180000000015,-871.4399999999997,-259.54253037884183,0.2,0.2781312127236582
1392,CONSTELLATION BRANDS INC,26405,Simi Dry Rose Sonoma Cnty,8.38,12.99,750.0,144,1206.72,24.0,311.7600000000001,207.84000000000003,2.66,159057.9800000001,-894.9599999999999,-287.06697459584285,0.16666666666666666,0.25835322195704064
9622,WEIN BAUER INC,25430,Schlink Haus Auslese,8.38,12.99,750.0,144,1206.72,54.0,719.4600000000003,349.7400000000001,6.000000000000003,444.46000000000004,-487.25999999999976,-67.72579434575925,0.375,0.5962112171837711
3960,DIAGEO NORTH AMERICA INC,3451,Smirnoff Root Beer Float,7.53,12.99,750.0,160,1204.7999999999997,88.0,1073.1200000000003,446.6400000000002,69.23999999999998,514064.14,-131.67999999999938,-12.270761890562037,0.55,0.8907038512616207
2242,DELICATO VINEYARDS INC,14961,Stone Barn Cab Svgn,3.17,4.79,750.0,380,1204.5999999999997,116.0,555.6400000000002,210.75999999999993,12.979999999999993,15965.299999999994,-648.9599999999995,-116.79504715283262,0.30526315789473685,0.46126515025734716
10754,PERFECTA WINES,19443,Cave de Tain St Joseph Red,14.33,29.99,750.0,84,1203.7200000000003,190.0,4083.099999999993,1848.1400000000006,21.17999999999998,57441.03999999999,2879.379999999993,70.51945825475737,2.261904761904762,3.3920679227727315
9552,M S WALKER INC,1650,Balcones TX Whisky Single Ba,49.99,64.99,750.0,24,1199.76,12.0,779.88,129.98,9.44,111103.64000000003,-419.88,-53.83905216187106,0.5,0.6500300060012002
4425,MARTIGNETTI COMPANIES,22647,Guillaume Vrignaud Chablis 1,24.99,37.99,750.0,48,1199.52,24.0,911.76,75.98,2.7,289858.48000000004,-287.76,-31.560937088707554,0.5,0.7601040416166467
653,STATE WINE & SPIRITS,1120,Jesse James Spiced Bourbon,12.49,15.99,750.0,96,1199.04,48.0,767.52,63.96,37.8,16029.96,-431.52,-56.222639149468414,0.5,0.6401120896717374
9552,M S WALKER INC,24492,Long Meadow Ranch Svgn Bl,12.49,18.99,750.0,96,1199.04,0.0,0.0,0.0,0.0,111103.64000000003,0.0,0.0,0.0,0.0
1392,CONSTELLATION BRANDS INC,12218,R M Woodbridge Moscato,1.98,7.99,750.0,604,1195.9199999999994,286.0,2071.140000000002,1392.0800000000015,31.659999999999936,159057.9800000001,875.2200000000028,42.257886960804285,0.4735099337748344,1.7318382500501732
4425,MARTIGNETTI COMPANIES,23109,DeLille Cellars Chaleur Blnc,24.83,36.99,750.0,48,1191.84,62.0,2293.3799999999987,1183.68,6.920000000000002,289858.48000000004,1101.5399999999988,48.031290060958035,1.2916666666666667,1.9242347966169946
653,STATE WINE & SPIRITS,20596,Aviary Cab Svgn,12.41,18.99,750.0,96,1191.36,12.0,239.88,159.92,1.3400000000000003,16029.96,-951.4799999999999,-396.648324162081,0.125,0.20134971796937953
2000,SOUTHERN WINE & SPIRITS NE,16681,Nicolas Potel Wh Burgundy,12.41,18.99,750.0,96,1191.36,14.0,265.85999999999996,113.93999999999998,1.56,38033.180000000015,-925.5,-348.11554953735055,0.14583333333333334,0.22315672844480255
9744,FREDERICK WILDMAN & SONS,25425,La Scolca Black Label Gavi,24.82,35.99,750.0,48,1191.36,24.0,863.76,71.98,2.7,7999.860000000002,-327.5999999999999,-37.927202000555695,0.5,0.7250201450443191
90024,VINILANDIA USA,24450,Santa Barbara Winery Pnt Nr,12.41,18.99,750.0,96,1191.36,26.0,493.7400000000001,455.7600000000001,2.86,5605.280000000004,-697.6199999999998,-141.2929882124194,0.2708333333333333,0.4144339242546335
1392,CONSTELLATION BRANDS INC,21324,Rosatello Sweet Rose,6.2,8.99,750.0,192,1190.4,22.0,197.78000000000003,143.83999999999997,2.4400000000000004,159057.9800000001,-992.6200000000001,-501.88087774294667,0.11458333333333333,0.16614583333333335
6213,MHW LTD,967,Chopin Vodka,24.8,31.99,1000.0,48,1190.4,16.0,511.8400000000001,511.8400000000001,16.800000000000004,19243.160000000003,-678.56,-132.57267896217564,0.3333333333333333,0.4299731182795699
